GeneID,Pseudo_bulk_expression
Pyap00682,3.7731800000000004e-05
Pyap00683,0.0019230004000000001
Pyap00684,0.6527492906
Pyap00685,0.072424331
Pyap00686,0.0030721202000000003
Pyap00687,0.0206826294
Pyap00688,0.2147076594
Pyap00689,6.64876e-05
Pyap00690,0.22134667540000003
Pyap00691,2.7544504206
Pyap00692,6.98596e-05
Pyap00693,0.0018711078000000002
Pyap00694,0.0009844458
Pyap00695,0.007257584
Pyap00696,2.42146e-05
Pyap00697,7.22016e-05
Pyap00698,1.048e-05
Pyap00699,0.0417531644
Pyap00700,0.0006612532
Pyap00701,0.0
Pyap00702,0.0017973931999999998
Pyap00703,15.329407776000002
Pyap00704,0.0050438010000000005
Pyap00705,0.0007439737999999999
Pyap00706,0.0054292184000000005
Pyap00707,0.0002701394
Pyap00708,0.0
Pyap00709,1.348e-05
Pyap00710,0.0022997262000000003
Pyap00711,1.2686966414
Pyap00712,0.0002077102
Pyap00713,0.0
Pyap00714,0.0
Pyap00715,1.2564697138
Pyap00716,15.928144954199999
Pyap00717,0.0
Pyap00718,0.001200889
Pyap00719,0.0224653302
Pyap00720,0.054219394
Pyap00721,0.0002650498
Pyap00722,0.0336137348
Pyap00723,0.1843466522
Pyap00724,0.0
Pyap00725,0.0
Pyap00726,0.1750339676
Pyap00727,0.0365562288
Pyap00728,0.48349305620000005
Pyap00729,0.000915652
Pyap00730,0.0145747292
Pyap00731,0.0112411792
Pyap00732,0.0867650534
Pyap00733,0.015269793
Pyap00734,0.3718936276
Pyap00735,3.66582e-05
Pyap00736,0.0013152792
Pyap00737,2.482218422
Pyap00738,0.0345117092
Pyap00739,0.9161979104
Pyap00740,0.0029342583999999996
Pyap00741,0.0004269096
Pyap00742,0.647500256
Pyap00743,0.6526141586
Pyap00744,0.8181943824
Pyap00745,1.105912343
Pyap00746,0.2209676994
Pyap00747,1.6350030002
Pyap00748,1.3735189448
Pyap00749,0.6012221216
Pyap00750,0.0031496196000000004
Pyap00751,0.8059212949999999
Pyap00752,2.466166131
Pyap00753,0.0
Pyap00754,0.7530873398
Pyap00755,1.4157554312
Pyap00756,0.8235275406
Pyap00757,0.0024300704
Pyap00758,0.0139716374
Pyap00759,0.004018657
Pyap00760,1.6704990998
Pyap00761,1.1316704662
Pyap00762,0.0159355412
Pyap00763,14.017711120000001
Pyap00764,0.9988892208
Pyap00765,0.14388113000000002
Pyap00766,2.4271703968
Pyap00767,1.633483372
Pyap00768,0.570057388
Pyap00769,3.2039267091999997
Pyap00770,0.0001174128
Pyap00771,0.9155491954
Pyap00772,7.67608e-05
Pyap00773,0.0559449358
Pyap00774,0.0
Pyap00775,0.0020776198
Pyap00776,0.0744229852
Pyap00777,0.0002485974
Pyap00778,0.197796053
Pyap00779,0.5238763576000001
Pyap00780,0.39229168239999995
Pyap00781,4.8978644218
Pyap00782,0.015030571399999998
Pyap00783,0.0071033182
Pyap00784,0.0257442758
Pyap00785,0.032194912000000006
Pyap00786,1.1057750328
Pyap00787,3.6334711426
Pyap00788,0.0
Pyap00789,0.613643975
Pyap00790,0.00012556699999999999
Pyap00791,0.000297314
Pyap00792,0.0078460752
Pyap00793,0.0
Pyap00794,0.025449910399999998
Pyap00795,21.199411995400002
Pyap00796,0.0220780966
Pyap00797,6.6168293988
Pyap00798,0.0129852626
Pyap00799,1.6221915768
Pyap00800,1.1902745078
Pyap00801,0.4047264504
Pyap00802,5.1502199999999996e-05
Pyap00803,0.0004470194
Pyap00804,0.0
Pyap00805,0.23451049959999998
Pyap00806,0.1710351948
Pyap00807,0.172315827
Pyap00808,7.3800000000000005e-06
Pyap00809,0.008988657799999999
Pyap00810,0.006169888199999999
